"Tipo de Información","Tipo de Tarifa","Tipo de Dato","Rango de Consumo","Nivel","Propiedad Epm","Compartido","Propiedad del Cliente","Punta","Fuera de Punta","Año","Mes"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$684,23","$656,43","$628,62","$0,00","$0,00","2020","Diciembre"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$570,20","$547,02","$523,85","$0,00","$0,00","2020","Diciembre"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$695,93","$667,65","$639,36","$0,00","$0,00","2021","Marzo"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$579,94","$556,37","$532,80","$0,00","$0,00","2021","Marzo"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$680,83","$653,16","$625,49","$0,00","$0,00","2020","Mayo"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$567,36","$544,30","$521,24","$0,00","$0,00","2020","Mayo"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$687,66","$659,71","$631,76","$0,00","$0,00","2021","Enero"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$573,05","$549,76","$526,47","$0,00","$0,00","2021","Enero"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$691,78","$663,67","$635,55","$0,00","$0,00","2021","Febrero"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$576,49","$553,05","$529,62","$0,00","$0,00","2021","Febrero"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$700,11","$671,65","$643,20","$0,00","$0,00","2021","Abril"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$583,42","$559,71","$536,00","$0,00","$0,00","2021","Abril"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$712,79","$683,82","$654,85","$0,00","$0,00","2021","Julio"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$593,99","$569,85","$545,71","$0,00","$0,00","2021","Julio"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$704,31","$675,68","$647,06","$0,00","$0,00","2021","Mayo"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$586,92","$563,07","$539,22","$0,00","$0,00","2021","Mayo"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$734,41","$704,56","$674,71","$0,00","$0,00","2021","Noviembre"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$612,01","$587,13","$562,26","$0,00","$0,00","2021","Noviembre"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$708,53","$679,74","$650,94","$0,00","$0,00","2021","Junio"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$590,45","$566,45","$542,45","$0,00","$0,00","2021","Junio"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$717,06","$687,92","$658,78","$0,00","$0,00","2021","Agosto"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$597,55","$573,27","$548,98","$0,00","$0,00","2021","Agosto"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$722,80","$693,42","$664,05","$0,00","$0,00","2021","Septiembre"
"Monomia","Áreas Comunes","Sin Contribución","N/A","I","$602,33","$577,85","$553,37","$0,00","$0,00","2021","Septiembre"
"Monomia","Áreas Comunes","Con Contribución","N/A","I","$740,29","$710,20","$680,11","$0,00","$0,00","2021","Diciembre"
