"Municipio","Sector","Estrato","Servicio","Cargo Fijo","Cargo por Consumo Menor","Cargo por Consumo Mayor","Cargo por Consumo","Suspensión","Reinstalación","Reconexión","Corte","Año","Mes"
"Barbosa","Comercial","Comercial","Acueducto","$10.531,25","$0,00","$0,00","$4.007,15","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Comercial","Comercial","Alcantarillado","$6.039,39","$0,00","$0,00","$2.336,07","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Industrial","Industrial","Acueducto","$10.531,25","$0,00","$0,00","$4.007,15","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Industrial","Industrial","Alcantarillado","$6.039,39","$0,00","$0,00","$2.336,07","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Oficial y Exenta","Oficial y Exenta","Acueducto","$7.020,83","$0,00","$0,00","$2.671,43","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Oficial y Exenta","Oficial y Exenta","Alcantarillado","$4.026,26","$0,00","$0,00","$1.557,38","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Residencial","1","Acueducto","$4.914,58","$1.870,00","$2.671,43","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Residencial","1","Alcantarillado","$3.019,70","$1.168,04","$1.557,38","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Residencial","2","Acueducto","$5.616,66","$2.137,14","$2.671,43","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Residencial","2","Alcantarillado","$3.221,01","$1.245,90","$1.557,38","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Residencial","3","Acueducto","$7.020,83","$2.671,43","$2.671,43","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Residencial","3","Alcantarillado","$4.026,26","$1.557,38","$1.557,38","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Residencial","4","Acueducto","$7.020,83","$2.671,43","$2.671,43","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Residencial","4","Alcantarillado","$4.026,26","$1.557,38","$1.557,38","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Residencial","5","Acueducto","$10.531,25","$4.007,15","$4.007,15","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Residencial","5","Alcantarillado","$6.039,39","$2.336,07","$2.336,07","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Residencial","6","Acueducto","$11.233,33","$4.274,29","$4.274,29","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Barbosa","Residencial","6","Alcantarillado","$6.442,02","$2.491,81","$2.491,81","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Bello","Comercial","Comercial","Acueducto","$10.923,45","$0,00","$0,00","$5.013,48","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Bello","Comercial","Comercial","Alcantarillado","$6.282,41","$0,00","$0,00","$4.022,47","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Bello","Industrial","Industrial","Acueducto","$10.571,09","$0,00","$0,00","$4.851,75","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Bello","Industrial","Industrial","Alcantarillado","$6.079,76","$0,00","$0,00","$3.892,71","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Bello","Oficial y Exenta","Oficial y Exenta","Acueducto","$7.047,39","$0,00","$0,00","$3.234,50","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
